Titre,Description,DateEvent,Nbr Participant,Nbr Restant,Link,Nbr Total
Mens Indoor Pick-up Basketball in Long Island City,"LICYSL - Men's Indoor Pickup Basketball in Hunters Point • Long Island City, NY","THU, MAY 19 · 1:00 AM UTC+2",13 attendees,9 spots left,https://www.meetup.com/LIC-Hoops-Mens-Indoor-Pickup-Basketball-in-Hunters-Point/events/285578911,22
DIR/Floortime based Autism Social Group Meetup,"DIR/Floortime based Autism Social Group Meetup • New York, NY","THU, MAY 19 · 1:15 AM UTC+2",5 attendees,No place left,https://www.meetup.com/DIR-Floortime-based-Autism-Social-Group-Meetup/events/285888319,5
Free Chinese Class - 'Do you speak Chinese?',"Free Chinese Classes • New York, NY","THU, MAY 19 · 1:30 AM UTC+2",12 attendees,No place left,https://www.meetup.com/free-chinese-classes/events/285773101,12
Learn Chinese: Do you speak Chinese?,"Chinese Chat International • New York, NY","THU, MAY 19 · 1:30 AM UTC+2",5 attendees,No place left,https://www.meetup.com/chinese-chat/events/285853343,5
Monthly Dinner (Make new female friends),"Mindful Gal Pals • Brooklyn, NY","THU, MAY 19 · 1:30 AM UTC+2",39 attendees,No place left,https://www.meetup.com/Mindful-Gal-Pals/events/285462049,39
A Post-Roe America? (a panelist discussion by legal experts),"""The NYC Political Forum"" • New York, NY","THU, MAY 19 · 2:00 AM UTC+2",43 attendees,No place left,https://www.meetup.com/NYC-Politics/events/285803030,43
Keep The Pace Run Club Community Run,"Keep The Pace Run Club • New York, NY","THU, MAY 19 · 1:15 PM UTC+2",7 attendees,No place left,https://www.meetup.com/keep-the-pace-run-club/events/285590146,7
Women in Data Science NYC @ Dataiku,"Analytics & Data Science by Dataiku NY • New York, NY","THU, MAY 19 · 9:00 PM UTC+2",89 attendees,No place left,https://www.meetup.com/AnalyticsDataScienceDataikuNY/events/285277410,89
NYC Blockchain Networking Event - Monthly 3rd Thurs. - Blockchain Cryptocurrency,"NYC Blockchain Network - Monthly 3rd Thursday Meetup • New York, NY","THU, MAY 19 · 11:00 PM UTC+2",188 attendees,No place left,https://www.meetup.com/nyc-blockchain-network-monthly-3rd-thursday-meetup/events/283992671,188
"Tech and Startup Networking Mixer (Tech, Drinks and Startups)","Startup+ NYC • New York, NY","THU, MAY 19 · 11:00 PM UTC+2",74 attendees,No place left,https://www.meetup.com/startup-plus/events/285600469,74
Thursday evening Kadima Meetup (+ MOVIE),"Adult UWS Kadima meet up • New York, NY","THU, MAY 19 · 11:30 PM UTC+2",20 attendees,No place left,https://www.meetup.com/New-York-City-UWS-Kadima-Meetup-Group/events/285846511,20
Robert Kosara: How to Show Ordinary Data in Extraordinary Ways,"Data Visualization New York • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",214 attendees,No place left,https://www.meetup.com/DataVisualization/events/285428471,214
[VIRTUAL|SUG] How to Stop avoiding conflict and start building better teams,"NYC Scrum User Group • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",50 attendees,No place left,https://www.meetup.com/NYC-Scrum-User-Group/events/283312744,50
Adult(ish) Game Night (Hybrid),"Adult(ish) at the Valley Cottage Library • Valley Cottage, NY","FRI, MAY 20 · 12:00 AM UTC+2",30 attendees,No place left,https://www.meetup.com/7eb6a8ab-02ce-4f9c-a900-9b7935f4e052/events/284224672,30
BYOB: Custom Candle Making Experience,"The Melanin Club- NYC • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",8 attendees,No place left,https://www.meetup.com/the-melanin-club-nyc/events/285606936,8
ScriptRunner – Let’s Unlock the Power of PowerShell across your organization,"New York PowerShell Meetup • New York, NY","FRI, MAY 20 · 12:30 AM UTC+2",146 attendees,No place left,https://www.meetup.com/NycPowershellMeetup/events/285079314,146
Liberty Science Center Afterdark!!!!,"50 By 50 Travel Wine And Dine And Amazing Times • Woodbridge, NJ","FRI, MAY 20 · 12:30 AM UTC+2",6 attendees,9 spots left,https://www.meetup.com/meetup-group-yaetucwl/events/285714746,15
Want to be happier and more confident?,"Self-confidence NY NJ Meetup Group • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",314 attendees,No place left,https://www.meetup.com/self-confidence-ny-nj-meetup-group/events/285380389,314
Conversation w/ MLOps Industry Veteran Yuval Fernbach,"MLOps NYC • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",45 attendees,No place left,https://www.meetup.com/MLOps-NYC/events/285703873,45
The Post-Office Girl - Stefan Zweig,"Great Loves Book Club • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",23 attendees,No place left,https://www.meetup.com/Great-Loves-Book-Club/events/285408679,23
Happy Hour @ Smorgasbar,"Jersey City Connects • Jersey City, NJ","FRI, MAY 20 · 1:00 AM UTC+2",88 attendees,No place left,https://www.meetup.com/jersey-city-connects/events/285645368,88
AMC NY/NJ 20s and 30s Spring Kickoff Social,"Appalachian Mountain Club - Young Members • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",34 attendees,No place left,https://www.meetup.com/AMCYoungMembers/events/285634911,34
Understanding the War In Ukraine,"The Network for Responsible Public Policy • Ridgewood, NJ","FRI, MAY 20 · 1:30 AM UTC+2",11 attendees,No place left,https://www.meetup.com/nfrpp-public-policy-forum-meetup-group/events/285675710,11
Thursday Evening 7vs7 Pickup,"Socceroof LIC (Pickup, Events and more...) • Astoria, NY","FRI, MAY 20 · 3:00 AM UTC+2",21 attendees,No place left,https://www.meetup.com/SocceroofLIC/events/285606358,21
Successfully implementing the key elements of Data & Analytics Strategy,"Data Science Festival - New York • New York, NY","FRI, MAY 20 · 2:00 PM UTC+2",24 attendees,No place left,https://www.meetup.com/Data-Science-Festival-New-York/events/285670172,24
Entrepreneurs Forum: Reemergence,"New York Entrepreneurs • New York, NY","FRI, MAY 20 · 6:00 PM UTC+2",80 attendees,No place left,https://www.meetup.com/new-york-entrepreneurship-meetup-group/events/285745762,80
Introduction to NSR Meditation/East Coast,"Introduction to NSR Meditation/East Coast • New York, NY","FRI, MAY 20 · 7:30 PM UTC+2",6 attendees,No place left,https://www.meetup.com/introduction-to-nsr-meditation-east-coast/events/285885668,6
"IN PERSON MEETUP: Free speech, Elon Musk, the ""Disinformation Governance Board""","New York City IDW - NYC Intellectual Dark Web • New York, NY","FRI, MAY 20 · 11:30 PM UTC+2",15 attendees,No place left,https://www.meetup.com/new-york-idw-group/events/285592467,15
May 20 Entrepreneur Networking Party,"NYC Entrepreneurs & Startups • New York, NY","FRI, MAY 20 · 11:30 PM UTC+2",20 attendees,No place left,https://www.meetup.com/meetup-group-denmnbrk/events/285751861,20
Touchdesigner NYC Meetup - IO edition,"ZeroSpace XR/AR/VR Meetups • Brooklyn, NY","SAT, MAY 21 · 12:00 AM UTC+2",65 attendees,10 spots left,https://www.meetup.com/zerospace-meetups/events/285871847,75
Irish Music & Happy Hour,"The New York Irish Pub Challenge Meetup • New York, NY","SAT, MAY 21 · 12:00 AM UTC+2",25 attendees,No place left,https://www.meetup.com/The-New-York-Irish-Pub-Challenge-Meetup/events/285629048,25
Friday happy hour - French conversation practice !,"Gay French language practice • New York, NY","SAT, MAY 21 · 12:00 AM UTC+2",15 attendees,No place left,https://www.meetup.com/gay-french-language-practice/events/285874661,15
"INFP, Introverts, Shy and International Friends Hang out and Chat","Brooklyn INFP, Introverts Meetup Group • Brooklyn, NY","SAT, MAY 21 · 1:00 AM UTC+2",25 attendees,No place left,https://www.meetup.com/brooklyn-infp-meetup-group/events/285683313,25
The Juggling Moms Club - Meet and Greet,"The Juggling Moms Club Meetup Group • Woodbridge, NJ","SAT, MAY 21 · 1:00 AM UTC+2",12 attendees,No place left,https://www.meetup.com/the-juggling-moms-club-meetup-group/events/285768776,12
Meet and Greet - Introductions and Q&A,"Math Pedagogy Group (Teachers, Tutors, and Math enthusiasts) • Bronx, NY","SAT, MAY 21 · 1:30 AM UTC+2",7 attendees,No place left,https://www.meetup.com/math-pedagogy-group-teachers-tutors-and-more/events/285809014,7
New York Dodgeball Pick up (in Chelsea!),"New York Dodgeball • New York, NY","SAT, MAY 21 · 2:00 AM UTC+2",12 attendees,No place left,https://www.meetup.com/new-york-dodgeball/events/285363294,12
NYRR 2022 RBC Brooklyn Half,"Dashing Whippets Running Team • New York, NY","SAT, MAY 21 · 1:00 PM UTC+2",60 attendees,No place left,https://www.meetup.com/dashing-whippets/events/282528678,60
Surf City - Opening Weekend - Ride out,"NYC Pirates • Bronx, NY","SAT, MAY 21 · 2:00 PM UTC+2",13 attendees,No place left,https://www.meetup.com/NYC-Pirates/events/285439517,13
Second Saturday - Divorce Seminar,"Second Saturday Divorce Seminar - Montclair • Montclair, NJ","SAT, MAY 21 · 3:00 PM UTC+2",74 attendees,No place left,https://www.meetup.com/second-saturday-divorce-seminar-montclair/events/284079586,74
Kathak - Kathak dancing by Radhika,"Free Dance and Drama • Jersey City, NJ","SAT, MAY 21 · 3:00 PM UTC+2",8 attendees,No place left,https://www.meetup.com/indian-dance-and-drama/events/285768483,8
BFC Saturday May 14th game 10:45 am TBC,"Brooklyn Football Club • Brooklyn, NY","SAT, MAY 21 · 4:45 PM UTC+2",10 attendees,4 spots left,https://www.meetup.com/meetup-group-sceopdbn/events/285932484,14
NYC Dance Parade!,"NYC Hoop Troupe • New York, NY","SAT, MAY 21 · 6:30 PM UTC+2",19 attendees,No place left,https://www.meetup.com/nychooptroupe/events/284525743,19
NYC Photographers' Belated Anniversary: Central Park,"NYC Photographers • New York, NY","SAT, MAY 21 · 5:00 PM UTC+2",51 attendees,No place left,https://www.meetup.com/NYC-Photographers/events/285530792,51
Yoga and Picnic in Central Park,"Urban Nomad Outdoor Yoga in New York City's Parks • New York, NY","SAT, MAY 21 · 5:45 PM UTC+2",14 attendees,No place left,https://www.meetup.com/new-york-outdoor-yoga-meetup-group/events/285632389,14
PODWORK-The Podcast Network Conference,"Podcasters of NewJersey • West Orange, NJ","SAT, MAY 21 · 6:00 PM UTC+2",13 attendees,No place left,https://www.meetup.com/Podcasters-of-NewJersey/events/284869303,13
Hometown Bar B Que. Let's Get Back to Normal....,"3 Brown Chicks who Travel! • New York, NY","SAT, MAY 21 · 6:00 PM UTC+2",16 attendees,No place left,https://www.meetup.com/3-Brown-Chicks-who-TRAVEL/events/284790236,16
First Meeting,"The Art of Community Conversation • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",32 attendees,No place left,https://www.meetup.com/the-art-of-community-conversation/events/285552346,32
Central Park Picnic,"Big Apple Dinners, Brunches & Adventures (30s-50s) • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",15 attendees,9 spots left,https://www.meetup.com/big-apple-beauties-30s-50s/events/285475556,24
LBGTQ+ Women's Picnic,"LGBTQ+ Women Social Group (Ages ≈21-40ish) • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",11 attendees,No place left,https://www.meetup.com/lgbtq-women-social-group-ages-20-40/events/285807405,11
D&D 5E World of Greyhawk: Take the Tower! Part 3,"Online Monthly D&D Game Meetup Group • Brooklyn, NY","SAT, MAY 21 · 7:00 PM UTC+2",9 attendees,No place left,https://www.meetup.com/online-monthly-dnd-game-meetup-group/events/285466017,9
Vegan Take Out & Picnic in Prospect Park,"Vegan Ventures • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",4 attendees,No place left,https://www.meetup.com/Vegan-Ventures/events/285680042,4
Brick Walls Over Brunch,"The Irish / British Genealogy Group • New York, NY","SAT, MAY 21 · 8:00 PM UTC+2",12 attendees,No place left,https://www.meetup.com/The-Irish-British-Genealogy-Group/events/285216249,12
Lets Dine NYC : Grimaldis Pizza at Brooklyn Bridge Park,"Let’s Dine NYC • New York, NY","SAT, MAY 21 · 9:15 PM UTC+2",23 attendees,No place left,https://www.meetup.com/let-s-dine-nyc/events/285362399,23
Archives Exposed,"Archives Exposed Exhibit • New York, NY","SAT, MAY 21 · 10:00 PM UTC+2",29 attendees,No place left,https://www.meetup.com/archives-exposed-exhibit/events/285384608,29
Let's Play Softball! - Brooklyn Half Marathon Edition - May 21st,"Central Park Saturday Afternoon Co-Ed Softball • New York, NY","SAT, MAY 21 · 10:00 PM UTC+2",24 attendees,No place left,https://www.meetup.com/Central-Park-Saturday-Afternoon-Co-Ed-Softball/events/285914681,24
Join the first Aging with Attitude meet up event!,"Aging with Attitude Meetup Group • New York, NY","SAT, MAY 21 · 11:00 PM UTC+2",5 attendees,No place left,https://www.meetup.com/aging-with-attitude-meetup-group/events/284822803,5
Interactive BoardGames presents: Blood on the Clocktower,"The Interactive Heroes • New York, NY","SUN, MAY 22 · 12:00 AM UTC+2",11 attendees,10 spots left,https://www.meetup.com/meetup-group-eyaqvekz/events/285730684,21
Who is preventing full E.T disclosure and why?,"New York Ufo Research and Investigations Meetup Group • New York, NY","SUN, MAY 22 · 1:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/new-york-ufo-research-investigations-meetup-group/events/285774353,10
Sunday at The Metropolitan Museum of Art,"Livin Your Best Life • Freehold, NJ","SUN, MAY 22 · 2:00 PM UTC+2",16 attendees,No place left,https://www.meetup.com/livin-your-best-life/events/284723997,16
Brompton Ride & Eat @ Smorgasburg,"Brompton New York • New York, NY","SUN, MAY 22 · 4:00 PM UTC+2",40 attendees,No place left,https://www.meetup.com/BromptonNYC/events/285542140,40
Tarot Class With Anne & Spiritual Chat,"Tarot Reading with Anne • Brooklyn, NY","SUN, MAY 22 · 4:00 PM UTC+2",10 attendees,No place left,https://www.meetup.com/thepsychicdancer/events/285652930,10
Gay/bi/trans Social event Brooklyn Botanic Garden,"LGBTQIA BlazenArts Art Club • Brooklyn, NY","SUN, MAY 22 · 5:00 PM UTC+2",19 attendees,No place left,https://www.meetup.com/lgbtqia-bushwick-art-club/events/285342978,19
Normal People (Sally Rooney),"Jersey City Brunch Book Club meetup • Jersey City, NJ","SUN, MAY 22 · 5:00 PM UTC+2",8 attendees,2 spots left,https://www.meetup.com/Jersey-City-Brunch-Book-Club-meetup/events/284744806,10
Brunch at The Cabin,"New York's Female Brunch Club • New York, NY","SUN, MAY 22 · 5:00 PM UTC+2",13 attendees,7 spots left,https://www.meetup.com/new-yorks-female-brunch-club/events/285744728,20
Hoboken Community Bike Rides,"Hoboken Bicycling Meetup • Hoboken, NJ","SUN, MAY 22 · 5:00 PM UTC+2",4 attendees,No place left,https://www.meetup.com/HobokenBicyclingMeetup/events/285619776,4
